iter,after_test,test_sec,gap_sec,stale_bs_test
81,bs_test_day19_stress_fail_ci,25.05,0.002,
81,bs_test_attach_day19_shortcoming_regression,7.03,0,
81,bs_test_attach_recover_cold,0.06,0.001,
82,bs_test_reload_per_batch_parallel_exec,0.04,0,
82,bs_test_day19_stress_reload_loop,25.05,0.001,
82,bs_test_day19_stress_fail_ci,25.05,0,
82,bs_test_attach_day19_shortcoming_regression,5.37,0.001,
82,bs_test_attach_recover_cold,0.06,0,
83,bs_test_reload_per_batch_parallel_exec,0.04,0,
83,bs_test_day19_stress_reload_loop,25.05,0.002,
83,bs_test_day19_stress_fail_ci,25.05,0.002,
83,bs_test_attach_day19_shortcoming_regression,5.02,0.002,
83,bs_test_attach_recover_cold,0.06,0.001,
84,bs_test_reload_per_batch_parallel_exec,0.04,0,
84,bs_test_day19_stress_reload_loop,25.05,0.001,
84,bs_test_day19_stress_fail_ci,25.05,0,
84,bs_test_attach_day19_shortcoming_regression,5.71,0,
84,bs_test_attach_recover_cold,0.06,0.001,
85,bs_test_reload_per_batch_parallel_exec,0.04,0,
85,bs_test_day19_stress_reload_loop,25.05,0,
85,bs_test_day19_stress_fail_ci,25.05,0.001,
85,bs_test_attach_day19_shortcoming_regression,5.96,0.003,
85,bs_test_attach_recover_cold,0.06,0.002,
86,bs_test_reload_per_batch_parallel_exec,0.04,0,
86,bs_test_day19_stress_reload_loop,25.06,0.004,
86,bs_test_day19_stress_fail_ci,25.05,0,
86,bs_test_attach_day19_shortcoming_regression,5.63,0.001,
86,bs_test_attach_recover_cold,0.07,0.001,
87,bs_test_reload_per_batch_parallel_exec,0.04,0,
87,bs_test_day19_stress_reload_loop,25.05,0.001,
87,bs_test_day19_stress_fail_ci,25.05,0.001,
87,bs_test_attach_day19_shortcoming_regression,7.53,0,
87,bs_test_attach_recover_cold,0.07,0,
88,bs_test_reload_per_batch_parallel_exec,0.05,0,
88,bs_test_day19_stress_reload_loop,25.05,0.001,
88,bs_test_day19_stress_fail_ci,25.05,0.002,
88,bs_test_attach_day19_shortcoming_regression,9.46,0,
88,bs_test_attach_recover_cold,0.07,0.002,
89,bs_test_reload_per_batch_parallel_exec,0.04,0,
89,bs_test_day19_stress_reload_loop,25.05,0.001,
89,bs_test_day19_stress_fail_ci,25.05,0.001,
89,bs_test_attach_day19_shortcoming_regression,6.89,0.001,
89,bs_test_attach_recover_cold,0.07,0.002,
90,bs_test_reload_per_batch_parallel_exec,0.04,0,
90,bs_test_day19_stress_reload_loop,25.05,0.001,
90,bs_test_day19_stress_fail_ci,25.05,0.001,
90,bs_test_attach_day19_shortcoming_regression,7.05,0.001,
90,bs_test_attach_recover_cold,0.06,0.001,
91,bs_test_reload_per_batch_parallel_exec,0.04,0,
91,bs_test_day19_stress_reload_loop,25.05,0.001,
91,bs_test_day19_stress_fail_ci,25.05,0.002,
91,bs_test_attach_day19_shortcoming_regression,5.58,0,
91,bs_test_attach_recover_cold,0.06,0,
92,bs_test_reload_per_batch_parallel_exec,0.04,0,
92,bs_test_day19_stress_reload_loop,25.05,0.001,
92,bs_test_day19_stress_fail_ci,25.04,0,
92,bs_test_attach_day19_shortcoming_regression,6.95,0.001,
92,bs_test_attach_recover_cold,0.07,0.001,
93,bs_test_reload_per_batch_parallel_exec,0.04,0,
93,bs_test_day19_stress_reload_loop,25.04,0.002,
93,bs_test_day19_stress_fail_ci,25.04,0.001,
93,bs_test_attach_day19_shortcoming_regression,6.74,0.001,
93,bs_test_attach_recover_cold,0.07,0,
94,bs_test_reload_per_batch_parallel_exec,0.05,0,
94,bs_test_day19_stress_reload_loop,25.05,0.001,
94,bs_test_day19_stress_fail_ci,25.05,0,
94,bs_test_attach_day19_shortcoming_regression,6.2,0,
94,bs_test_attach_recover_cold,0.07,0.001,
95,bs_test_reload_per_batch_parallel_exec,0.04,0,
95,bs_test_day19_stress_reload_loop,25.05,0.001,
95,bs_test_day19_stress_fail_ci,25.05,0.001,
95,bs_test_attach_day19_shortcoming_regression,6.07,0.001,
95,bs_test_attach_recover_cold,0.06,0.002,
96,bs_test_reload_per_batch_parallel_exec,0.04,0,
96,bs_test_day19_stress_reload_loop,25.05,0.001,
96,bs_test_day19_stress_fail_ci,25.05,0,
96,bs_test_attach_day19_shortcoming_regression,6.63,0.002,
96,bs_test_attach_recover_cold,0.06,0.001,
97,bs_test_reload_per_batch_parallel_exec,0.58,0,
97,bs_test_day19_stress_reload_loop,25.05,0.001,
97,bs_test_day19_stress_fail_ci,25.04,0.001,
97,bs_test_attach_day19_shortcoming_regression,5.77,0.001,
97,bs_test_attach_recover_cold,0.07,0.001,
98,bs_test_reload_per_batch_parallel_exec,0.04,0,
98,bs_test_day19_stress_reload_loop,25.05,0.001,
98,bs_test_day19_stress_fail_ci,25.04,0.001,
98,bs_test_attach_day19_shortcoming_regression,7.11,0.001,
98,bs_test_attach_recover_cold,0.07,0,
99,bs_test_reload_per_batch_parallel_exec,0.04,0,
99,bs_test_day19_stress_reload_loop,25.06,0.001,
99,bs_test_day19_stress_fail_ci,25.05,0.001,
99,bs_test_attach_day19_shortcoming_regression,6.74,0.001,
99,bs_test_attach_recover_cold,0.06,0.001,
100,bs_test_reload_per_batch_parallel_exec,0.04,0,
100,bs_test_day19_stress_reload_loop,25.05,0.001,
100,bs_test_day19_stress_fail_ci,25.05,0,
100,bs_test_attach_day19_shortcoming_regression,6.87,0.002,
100,bs_test_attach_recover_cold,0.07,0.001,
